set,file_name,product_type,product_subgroup,calib_level,size_bytes,data_uri,parent_obsid
JWST,jw01633004001_04103_00001-seg007_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,214110720,mast:JWST/product/jw01633004001_04103_00001-seg007_nrcalong_x1dints.fits,90656322
JWST,jw01633004001_04103_00001-seg009_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,212112000,mast:JWST/product/jw01633004001_04103_00001-seg009_nrcalong_x1dints.fits,90656322
JWST,jw01633004001_04103_00001-seg014_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,212112000,mast:JWST/product/jw01633004001_04103_00001-seg014_nrcalong_x1dints.fits,90656322
JWST,jw01633004001_04103_00001-seg010_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,212112000,mast:JWST/product/jw01633004001_04103_00001-seg010_nrcalong_x1dints.fits,90656322
JWST,jw01633004001_04103_00001-seg011_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,212112000,mast:JWST/product/jw01633004001_04103_00001-seg011_nrcalong_x1dints.fits,90656322
JWST,jw01633004001_04103_00001-seg013_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,212112000,mast:JWST/product/jw01633004001_04103_00001-seg013_nrcalong_x1dints.fits,90656322
JWST,jw01633004001_04103_00001-seg012_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,212112000,mast:JWST/product/jw01633004001_04103_00001-seg012_nrcalong_x1dints.fits,90656322
JWST,jw01633-o004_t001_nircam_f322w2-grismr-subgrism64_whtlt.ecsv,SCIENCE,WHTLT,3,569723,mast:JWST/product/jw01633-o004_t001_nircam_f322w2-grismr-subgrism64_whtlt.ecsv,90656322
JWST,jw01633-o004_t001_nircam_f322w2-grismr-subgrism64_x1dints.fits,SCIENCE,X1DINTS,3,2982790080,mast:JWST/product/jw01633-o004_t001_nircam_f322w2-grismr-subgrism64_x1dints.fits,90656322
JWST,jw02459001001_03103_00001-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,1255680,mast:JWST/product/jw02459001001_03103_00001-seg001_nrcalong_x1dints.fits,90797109
JWST,jw02459-o001_t001_nircam_f322w2-grismr-subgrism256_whtlt.ecsv,SCIENCE,WHTLT,3,623,mast:JWST/product/jw02459-o001_t001_nircam_f322w2-grismr-subgrism256_whtlt.ecsv,90797109
JWST,jw02459-o001_t001_nircam_f322w2-grismr-subgrism256_x1dints.fits,SCIENCE,X1DINTS,3,1275840,mast:JWST/product/jw02459-o001_t001_nircam_f322w2-grismr-subgrism256_x1dints.fits,90797109
JWST,jw02459009001_03103_00001-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,1252800,mast:JWST/product/jw02459009001_03103_00001-seg001_nrcalong_x1dints.fits,91443909
JWST,jw02459013001_03103_00001-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,1252800,mast:JWST/product/jw02459013001_03103_00001-seg001_nrcalong_x1dints.fits,91443910
JWST,jw02459011001_03103_00001-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,1252800,mast:JWST/product/jw02459011001_03103_00001-seg001_nrcalong_x1dints.fits,91443915
JWST,jw02459-o009_t005_nircam_f322w2-grismr-subgrism64_whtlt.ecsv,SCIENCE,WHTLT,3,461,mast:JWST/product/jw02459-o009_t005_nircam_f322w2-grismr-subgrism64_whtlt.ecsv,91443909
JWST,jw02459-o009_t005_nircam_f322w2-grismr-subgrism64_x1dints.fits,SCIENCE,X1DINTS,3,1275840,mast:JWST/product/jw02459-o009_t005_nircam_f322w2-grismr-subgrism64_x1dints.fits,91443909
JWST,jw02459-o013_t007_nircam_f322w2-grismr-subgrism64_whtlt.ecsv,SCIENCE,WHTLT,3,461,mast:JWST/product/jw02459-o013_t007_nircam_f322w2-grismr-subgrism64_whtlt.ecsv,91443910
JWST,jw02459-o013_t007_nircam_f322w2-grismr-subgrism64_x1dints.fits,SCIENCE,X1DINTS,3,1275840,mast:JWST/product/jw02459-o013_t007_nircam_f322w2-grismr-subgrism64_x1dints.fits,91443910
JWST,jw02459-o011_t006_nircam_f322w2-grismr-subgrism64_whtlt.ecsv,SCIENCE,WHTLT,3,460,mast:JWST/product/jw02459-o011_t006_nircam_f322w2-grismr-subgrism64_whtlt.ecsv,91443915
JWST,jw02459-o011_t006_nircam_f322w2-grismr-subgrism64_x1dints.fits,SCIENCE,X1DINTS,3,1275840,mast:JWST/product/jw02459-o011_t006_nircam_f322w2-grismr-subgrism64_x1dints.fits,91443915
JWST,jw02459015001_03103_00001-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,1252800,mast:JWST/product/jw02459015001_03103_00001-seg001_nrcalong_x1dints.fits,91483002
JWST,jw02459017001_03103_00001-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,1252800,mast:JWST/product/jw02459017001_03103_00001-seg001_nrcalong_x1dints.fits,91483007
JWST,jw02459-o015_t008_nircam_f322w2-grismr-subgrism64_whtlt.ecsv,SCIENCE,WHTLT,3,462,mast:JWST/product/jw02459-o015_t008_nircam_f322w2-grismr-subgrism64_whtlt.ecsv,91483002
JWST,jw02459-o015_t008_nircam_f322w2-grismr-subgrism64_x1dints.fits,SCIENCE,X1DINTS,3,1275840,mast:JWST/product/jw02459-o015_t008_nircam_f322w2-grismr-subgrism64_x1dints.fits,91483002
JWST,jw02459-o017_t009_nircam_f322w2-grismr-subgrism128_whtlt.ecsv,SCIENCE,WHTLT,3,462,mast:JWST/product/jw02459-o017_t009_nircam_f322w2-grismr-subgrism128_whtlt.ecsv,91483007
JWST,jw02459-o017_t009_nircam_f322w2-grismr-subgrism128_x1dints.fits,SCIENCE,X1DINTS,3,1275840,mast:JWST/product/jw02459-o017_t009_nircam_f322w2-grismr-subgrism128_x1dints.fits,91483007
JWST,jw02183003001_03103_00001-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,1252800,mast:JWST/product/jw02183003001_03103_00001-seg001_nrcalong_x1dints.fits,93018359
JWST,jw02183014001_03103_00001-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,1252800,mast:JWST/product/jw02183014001_03103_00001-seg001_nrcalong_x1dints.fits,93018361
JWST,jw02183002001_03103_00001-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,1252800,mast:JWST/product/jw02183002001_03103_00001-seg001_nrcalong_x1dints.fits,93031130
JWST,jw02183-o003_t001_nircam_f444w-grismr-subgrism256_whtlt.ecsv,SCIENCE,WHTLT,3,623,mast:JWST/product/jw02183-o003_t001_nircam_f444w-grismr-subgrism256_whtlt.ecsv,93018359
